solver,puzzle_id,status,solve_time,propagations
CVC5,sudoku_25x25_Extremely Easy_20241212_223411_puzzle,sat,0.8568863868713379,1158
CVC5,sudoku_25x25_Easy_20241212_223635_puzzle,unsat,0.2296905517578125,1267
CVC5,sudoku_25x25_Easy_20241212_223654_puzzle,unsat,0.2377948760986328,1246
CVC5,sudoku_25x25_Difficult_20241212_225638_puzzle,unsat,0.239884614944458,1163
CVC5,sudoku_25x25_Difficult_20241212_225229_puzzle,sat,0.6715900897979736,1166
CVC5,sudoku_25x25_Difficult_20241212_225646_puzzle,unsat,0.20691704750061035,1320
CVC5,sudoku_25x25_Medium_20241212_224149_puzzle,sat,0.6056451797485352,1182
CVC5,sudoku_25x25_Easy_20241212_224100_puzzle,unsat,0.20935845375061035,1118
CVC5,sudoku_25x25_Medium_20241212_224809_puzzle,unsat,0.22564339637756348,1246
CVC5,sudoku_25x25_Evil_20241212_225823_puzzle,sat,1.0280580520629883,1094
CVC5,sudoku_25x25_Easy_20241212_224002_puzzle,unsat,0.20665407180786133,1201
CVC5,sudoku_25x25_Medium_20241212_224958_puzzle,sat,0.6845533847808838,1157
CVC5,sudoku_25x25_Evil_20241212_230335_puzzle,sat,0.2501082420349121,1322
CVC5,sudoku_25x25_Difficult_20241212_225654_puzzle,unsat,0.20811867713928223,1230
CVC5,sudoku_25x25_Evil_20241212_225833_puzzle,unsat,0.20830392837524414,1299
CVC5,sudoku_25x25_Difficult_20241212_225117_puzzle,unsat,0.21863007545471191,1291
CVC5,sudoku_25x25_Medium_20241212_224419_puzzle,unsat,0.20510292053222656,1177
CVC5,sudoku_25x25_Evil_20241212_225925_puzzle,unsat,0.2096858024597168,1308
CVC5,sudoku_25x25_Evil_20241212_230415_puzzle,unsat,0.22930645942687988,1126
CVC5,sudoku_25x25_Difficult_20241212_225039_puzzle,unsat,0.21429944038391113,1089
CVC5,sudoku_25x25_Extremely Easy_20241212_223344_puzzle,unsat,0.20142626762390137,1279
CVC5,sudoku_25x25_Medium_20241212_224741_puzzle,sat,0.39439845085144043,1241
CVC5,sudoku_25x25_Extremely Easy_20241212_223350_puzzle,sat,0.7261264324188232,1160
CVC5,sudoku_25x25_Medium_20241212_224151_puzzle,sat,0.7803659439086914,1141
CVC5,sudoku_25x25_Extremely Easy_20241212_223443_puzzle,sat,0.607975959777832,1177
CVC5,sudoku_25x25_Extremely Easy_20241212_223241_puzzle,sat,0.4488718509674072,1224
CVC5,sudoku_25x25_Medium_20241212_224222_puzzle,unsat,0.19698739051818848,1221
CVC5,sudoku_25x25_Extremely Easy_20241212_223225_puzzle,sat,0.34566831588745117,1262
CVC5,sudoku_25x25_Medium_20241212_224344_puzzle,unsat,0.2136244773864746,1230
CVC5,sudoku_25x25_Medium_20241212_224727_puzzle,unsat,0.21155261993408203,1243
CVC5,sudoku_25x25_Evil_20241212_225931_puzzle,unsat,1.322671890258789,1225
CVC5,sudoku_25x25_Easy_20241212_224036_puzzle,unsat,0.19451498985290527,1134
CVC5,sudoku_25x25_Easy_20241212_223714_puzzle,sat,1.1793835163116455,1075
CVC5,sudoku_25x25_Medium_20241212_224143_puzzle,sat,0.4636507034301758,1217
CVC5,sudoku_25x25_Evil_20241212_230458_puzzle,sat,2.166839361190796,1161
CVC5,sudoku_25x25_Easy_20241212_223612_puzzle,unsat,0.23907804489135742,1307
CVC5,sudoku_25x25_Evil_20241212_225919_puzzle,unsat,0.2054135799407959,1256
CVC5,sudoku_25x25_Evil_20241212_225944_puzzle,unsat,0.20608043670654297,1212
CVC5,sudoku_25x25_Extremely Easy_20241212_223357_puzzle,sat,0.8037395477294922,1139
CVC5,sudoku_25x25_Extremely Easy_20241212_223249_puzzle,sat,0.2736990451812744,1298
CVC5,sudoku_25x25_Evil_20241212_230007_puzzle,sat,0.3586127758026123,1262
CVC5,sudoku_25x25_Easy_20241212_224012_puzzle,unsat,0.20968842506408691,1289
CVC5,sudoku_25x25_Medium_20241212_224202_puzzle,sat,0.6378459930419922,1165
CVC5,sudoku_25x25_Difficult_20241212_225626_puzzle,unsat,0.20378756523132324,1270
CVC5,sudoku_25x25_Difficult_20241212_225733_puzzle,unsat,0.20242667198181152,1198
